,country,year,life_expectancy
186,United Arab Emirates,1800,30.7
187,United Kingdom,1800,38.65
188,United States,1800,39.41
189,Uruguay,1800,32.9
190,Uzbekistan,1800,26.93
191,Vanuatu,1800,24.3
192,Venezuela,1800,32.2
193,West Bank and Gaza,1800,32.1
194,Western Sahara,1800,34.75
195,Vietnam,1800,32.0
196,Virgin Islands (U.S.),1800,33.4
197,Yemen,1800,23.39
198,Zambia,1800,32.6
199,Zimbabwe,1800,33.7
200,South Sudan,1800,26.67
201,Afghanistan,1801,28.2
202,Albania,1801,35.4
203,Algeria,1801,28.82
204,Angola,1801,26.98
205,Antigua and Barbuda,1801,33.54
206,Argentina,1801,33.2
207,Armenia,1801,34.0
208,Aruba,1801,34.42
209,Australia,1801,34.05
210,Austria,1801,34.4
211,Azerbaijan,1801,29.17
212,Bahamas,1801,35.18
213,Bahrain,1801,30.3
214,Bangladesh,1801,25.5
215,Barbados,1801,32.12
216,Belarus,1801,36.2
217,Belgium,1801,40.01
218,Belize,1801,26.5
219,Benin,1801,31.0
220,Bhutan,1801,28.8
221,Bolivia,1801,33.0
222,Bosnia and Herzegovina,1801,35.1
223,Botswana,1801,33.6
224,Brazil,1801,32.0
225,Brunei,1801,29.2
226,Bulgaria,1801,35.84
227,Burkina Faso,1801,29.2
228,Burundi,1801,31.5
229,Cambodia,1801,35.0
230,Cameroon,1801,28.75
231,Canada,1801,39.0
232,Cape Verde,1801,33.8
233,Central African Republic,1801,30.0
234,Chad,1801,30.9
235,Chile,1801,32.0
236,China,1801,32.0
237,Colombia,1801,32.0
238,Comoros,1801,32.1
239,"Congo, Dem. Rep.",1801,31.6
240,"Congo, Rep.",1801,32.7
241,Costa Rica,1801,30.21
242,Cote d'Ivoire,1801,31.16
243,Croatia,1801,36.1
244,Cuba,1801,32.33
245,Cyprus,1801,38.5
246,Czech Republic,1801,34.95
247,Denmark,1801,38.51
248,Djibouti,1801,29.9
249,Dominican Republic,1801,29.9
250,Ecuador,1801,32.9
251,Egypt,1801,33.0
252,El Salvador,1801,28.7
253,Equatorial Guinea,1801,29.8
254,Eritrea,1801,30.2
255,Estonia,1801,35.7
256,Ethiopia,1801,29.7
257,Fiji,1801,26.1
258,Finland,1801,40.3
259,France,1801,36.37
260,French Guiana,1801,30.5
261,French Polynesia,1801,25.6
262,Gabon,1801,30.6
263,Gambia,1801,28.8
264,Georgia,1801,31.87
265,Germany,1801,38.37
266,Ghana,1801,28.0
267,Greece,1801,36.6
268,Greenland,1801,33.87
269,Grenada,1801,31.4
270,Guadeloupe,1801,27.66
271,Guam,1801,27.5
272,Guatemala,1801,25.8
273,Guinea,1801,29.51
274,Guinea-Bissau,1801,32.0
275,Guyana,1801,31.12
276,Haiti,1801,29.0
277,Honduras,1801,33.9
278,"Hong Kong, China",1801,34.9
279,Hungary,1801,36.0
280,Iceland,1801,33.88
281,India,1801,25.44
282,Indonesia,1801,30.0
283,Iran,1801,25.6
284,Iraq,1801,31.2
285,Ireland,1801,38.3
