,country,year,life_expectancy
4276,Ethiopia,1821,29.7
4277,Fiji,1821,26.1
4278,Finland,1821,40.16
4279,France,1821,39.83
4280,French Guiana,1821,30.5
4281,French Polynesia,1821,25.6
4282,Gabon,1821,30.6
4283,Gambia,1821,28.8
4284,Georgia,1821,31.87
4285,Germany,1821,38.37
4286,Ghana,1821,28.0
4287,Greece,1821,36.6
4288,Greenland,1821,33.87
4289,Grenada,1821,31.4
4290,Guadeloupe,1821,27.66
4291,Guam,1821,27.5
4292,Guatemala,1821,25.8
4293,Guinea,1821,29.72
4294,Guinea-Bissau,1821,32.0
4295,Guyana,1821,31.12
4296,Haiti,1821,29.0
4297,Honduras,1821,33.9
4298,"Hong Kong, China",1821,34.9
4299,Hungary,1821,36.0
4300,Iceland,1821,31.01
4301,India,1821,25.44
4302,Indonesia,1821,30.0
4303,Iran,1821,25.6
4304,Iraq,1821,31.2
4305,Ireland,1821,38.3
4306,Israel,1821,32.0
4307,Italy,1821,29.69
4308,Jamaica,1821,34.2
4309,Japan,1821,36.41
4310,Jordan,1821,31.7
4311,Kazakhstan,1821,26.2
4312,Kenya,1821,25.5
4313,Kiribati,1821,24.9
4314,North Korea,1821,26.0
4315,South Korea,1821,25.8
4316,Kuwait,1821,26.0
4317,Kyrgyz Republic,1821,23.94
4318,Lao,1821,31.9
4319,Latvia,1821,33.0
4320,Lebanon,1821,29.7
4321,Lesotho,1821,32.8
4322,Liberia,1821,31.1
4323,Libya,1821,33.1
4324,Lithuania,1821,28.9
4325,Luxembourg,1821,36.9
4326,"Macao, China",1821,34.7
4327,"Macedonia, FYR",1821,36.1
4328,Madagascar,1821,30.5
4329,Malawi,1821,30.3
4330,Malaysia,1821,30.6
4331,Maldives,1821,32.65
4332,Mali,1821,26.41
4333,Malta,1821,28.7
4334,Martinique,1821,30.15
4335,Mauritania,1821,32.0
4336,Mauritius,1821,28.7
4337,Mayotte,1821,32.5
4338,Mexico,1821,26.9
4339,"Micronesia, Fed. Sts.",1821,26.7
4340,Moldova,1821,33.15
4341,Mongolia,1821,31.8
4342,Montenegro,1821,35.4
4343,Morocco,1821,33.1
4344,Mozambique,1821,30.28
4345,Myanmar,1821,30.8
4346,Namibia,1821,32.4
4347,Nepal,1821,32.8
4348,Netherlands,1821,39.86
4349,Netherlands Antilles,1821,34.41
4350,New Caledonia,1821,26.0
4351,New Zealand,1821,34.05
4352,Nicaragua,1821,25.4
4353,Niger,1821,30.8
4354,Nigeria,1821,30.4
4355,Norway,1821,44.69
4356,Oman,1821,32.3
4357,Pakistan,1821,25.8
4358,Panama,1821,32.9
4359,Papua New Guinea,1821,31.5
4360,Paraguay,1821,35.5
4361,Peru,1821,35.7
4362,Philippines,1821,30.9
4363,Poland,1821,35.9
4364,Portugal,1821,35.6
4365,Puerto Rico,1821,30.43
4366,Qatar,1821,30.8
4367,Reunion,1821,33.0
4368,Romania,1821,35.7
4369,Russia,1821,29.57
4370,Rwanda,1821,31.8
4371,St. Lucia,1821,28.01
4372,St. Vincent and the Grenadines,1821,25.99
4373,Samoa,1821,25.4
4374,Sao Tome and Principe,1821,31.0
4375,Saudi Arabia,1821,32.1
4376,Senegal,1821,25.2
4377,Serbia,1821,35.5
4378,Seychelles,1821,37.0
4379,Sierra Leone,1821,25.1
4380,Singapore,1821,31.06
4381,Slovak Republic,1821,36.4
4382,Slovenia,1821,36.6
4383,Solomon Islands,1821,25.1
4384,Somalia,1821,29.4
4385,South Africa,1821,33.5
4386,Spain,1821,29.5
4387,Sri Lanka,1821,32.6
4388,Sudan,1821,31.4
4389,Suriname,1821,32.9
4390,Swaziland,1821,32.3
4391,Sweden,1821,38.14
4392,Switzerland,1821,38.0
4393,Syria,1821,31.1
4394,Taiwan,1821,28.3
4395,Tajikistan,1821,24.24
4396,Tanzania,1821,32.2
4397,Thailand,1821,30.4
4398,Timor-Leste,1821,28.95
4399,Togo,1821,31.3
4400,Tonga,1821,28.2
4401,Trinidad and Tobago,1821,32.9
4402,Tunisia,1821,28.8
4403,Turkey,1821,35.0
4404,Turkmenistan,1821,24.0
4405,Uganda,1821,25.3
4406,Ukraine,1821,36.6
4407,United Arab Emirates,1821,30.7
4408,United Kingdom,1821,41.78
4409,United States,1821,39.41
4410,Uruguay,1821,32.9
4411,Uzbekistan,1821,26.93
4412,Vanuatu,1821,24.3
4413,Venezuela,1821,32.2
4414,West Bank and Gaza,1821,32.1
4415,Western Sahara,1821,34.75
4416,Vietnam,1821,32.0
4417,Virgin Islands (U.S.),1821,33.4
4418,Yemen,1821,23.39
4419,Zambia,1821,32.6
4420,Zimbabwe,1821,33.7
4421,South Sudan,1821,26.67
4422,Afghanistan,1822,27.99
4423,Albania,1822,35.4
4424,Algeria,1822,28.82
4425,Angola,1822,26.98
4426,Antigua and Barbuda,1822,33.54
4427,Argentina,1822,33.2
4428,Armenia,1822,34.0
4429,Aruba,1822,34.42
4430,Australia,1822,34.05
4431,Austria,1822,34.4
4432,Azerbaijan,1822,29.17
4433,Bahamas,1822,35.18
4434,Bahrain,1822,30.3
4435,Bangladesh,1822,25.5
4436,Barbados,1822,32.12
4437,Belarus,1822,36.2
4438,Belgium,1822,40.18
4439,Belize,1822,26.5
4440,Benin,1822,31.0
4441,Bhutan,1822,28.8
4442,Bolivia,1822,33.0
4443,Bosnia and Herzegovina,1822,35.1
4444,Botswana,1822,33.6
4445,Brazil,1822,32.0
4446,Brunei,1822,29.2
4447,Bulgaria,1822,36.77
4448,Burkina Faso,1822,29.2
4449,Burundi,1822,31.5
4450,Cambodia,1822,35.0
4451,Cameroon,1822,28.75
4452,Canada,1822,39.03
4453,Cape Verde,1822,33.8
4454,Central African Republic,1822,30.0
4455,Chad,1822,30.9
4456,Chile,1822,32.0
4457,China,1822,32.0
4458,Colombia,1822,32.0
4459,Comoros,1822,32.1
4460,"Congo, Dem. Rep.",1822,31.6
4461,"Congo, Rep.",1822,32.7
4462,Costa Rica,1822,30.21
4463,Cote d'Ivoire,1822,31.16
4464,Croatia,1822,36.1
4465,Cuba,1822,35.72
4466,Cyprus,1822,38.5
4467,Czech Republic,1822,34.95
4468,Denmark,1822,43.36
4469,Djibouti,1822,29.9
4470,Dominican Republic,1822,29.9
4471,Ecuador,1822,32.9
4472,Egypt,1822,33.0
4473,El Salvador,1822,28.7
4474,Equatorial Guinea,1822,29.8
4475,Eritrea,1822,30.2
4476,Estonia,1822,40.27
4477,Ethiopia,1822,29.7
4478,Fiji,1822,26.1
4479,Finland,1822,34.9
4480,France,1822,38.3
4481,French Guiana,1822,30.5
4482,French Polynesia,1822,25.6
4483,Gabon,1822,30.6
4484,Gambia,1822,28.8
4485,Georgia,1822,31.87
4486,Germany,1822,38.37
4487,Ghana,1822,28.0
4488,Greece,1822,36.6
4489,Greenland,1822,33.87
4490,Grenada,1822,31.4
4491,Guadeloupe,1822,27.66
4492,Guam,1822,27.5
4493,Guatemala,1822,25.8
4494,Guinea,1822,29.73
4495,Guinea-Bissau,1822,32.0
4496,Guyana,1822,31.12
4497,Haiti,1822,29.0
4498,Honduras,1822,33.9
4499,"Hong Kong, China",1822,34.9
4500,Hungary,1822,36.0
4501,Iceland,1822,48.39
4502,India,1822,25.44
4503,Indonesia,1822,30.0
4504,Iran,1822,25.6
4505,Iraq,1822,31.2
4506,Ireland,1822,38.3
4507,Israel,1822,32.0
4508,Italy,1822,29.69
4509,Jamaica,1822,34.2
4510,Japan,1822,36.41
4511,Jordan,1822,31.7
4512,Kazakhstan,1822,26.2
4513,Kenya,1822,25.5
4514,Kiribati,1822,24.9
4515,North Korea,1822,26.0
4516,South Korea,1822,25.8
4517,Kuwait,1822,26.0
4518,Kyrgyz Republic,1822,23.94
4519,Lao,1822,31.9
4520,Latvia,1822,33.0
4521,Lebanon,1822,29.7
4522,Lesotho,1822,32.8
4523,Liberia,1822,31.1
4524,Libya,1822,33.1
4525,Lithuania,1822,28.9
4526,Luxembourg,1822,36.9
4527,"Macao, China",1822,34.7
4528,"Macedonia, FYR",1822,36.1
4529,Madagascar,1822,30.5
4530,Malawi,1822,30.3
4531,Malaysia,1822,30.6
4532,Maldives,1822,32.65
4533,Mali,1822,26.41
4534,Malta,1822,28.7
4535,Martinique,1822,30.15
4536,Mauritania,1822,32.0
4537,Mauritius,1822,28.7
4538,Mayotte,1822,32.5
4539,Mexico,1822,26.9
4540,"Micronesia, Fed. Sts.",1822,26.7
4541,Moldova,1822,33.15
4542,Mongolia,1822,31.8
4543,Montenegro,1822,35.4
4544,Morocco,1822,33.1
4545,Mozambique,1822,30.28
4546,Myanmar,1822,30.8
4547,Namibia,1822,32.4
4548,Nepal,1822,32.8
4549,Netherlands,1822,39.86
4550,Netherlands Antilles,1822,34.41
4551,New Caledonia,1822,26.0
4552,New Zealand,1822,34.05
4553,Nicaragua,1822,25.4
4554,Niger,1822,30.8
4555,Nigeria,1822,30.4
4556,Norway,1822,46.13
4557,Oman,1822,32.3
4558,Pakistan,1822,25.8
4559,Panama,1822,32.9
4560,Papua New Guinea,1822,31.5
4561,Paraguay,1822,35.5
4562,Peru,1822,35.7
4563,Philippines,1822,30.9
4564,Poland,1822,35.9
4565,Portugal,1822,35.6
4566,Puerto Rico,1822,30.43
4567,Qatar,1822,30.8
4568,Reunion,1822,33.0
4569,Romania,1822,35.7
4570,Russia,1822,29.57
4571,Rwanda,1822,31.8
4572,St. Lucia,1822,28.01
4573,St. Vincent and the Grenadines,1822,25.99
4574,Samoa,1822,25.4
4575,Sao Tome and Principe,1822,31.0
4576,Saudi Arabia,1822,32.1
4577,Senegal,1822,25.2
4578,Serbia,1822,35.5
4579,Seychelles,1822,37.0
4580,Sierra Leone,1822,25.1
4581,Singapore,1822,32.04
4582,Slovak Republic,1822,36.4
4583,Slovenia,1822,36.6
4584,Solomon Islands,1822,25.1
4585,Somalia,1822,29.4
4586,South Africa,1822,33.5
4587,Spain,1822,29.5
4588,Sri Lanka,1822,32.6
4589,Sudan,1822,31.4
4590,Suriname,1822,32.9
4591,Swaziland,1822,32.3
4592,Sweden,1822,42.76
4593,Switzerland,1822,38.0
4594,Syria,1822,31.1
4595,Taiwan,1822,28.3
4596,Tajikistan,1822,24.24
4597,Tanzania,1822,32.2
4598,Thailand,1822,30.4
4599,Timor-Leste,1822,28.95
4600,Togo,1822,31.3
4601,Tonga,1822,28.2
4602,Trinidad and Tobago,1822,32.9
4603,Tunisia,1822,28.8
4604,Turkey,1822,35.0
4605,Turkmenistan,1822,24.0
4606,Uganda,1822,25.3
4607,Ukraine,1822,36.6
4608,United Arab Emirates,1822,30.7
4609,United Kingdom,1822,41.35
4610,United States,1822,39.41
4611,Uruguay,1822,32.9
4612,Uzbekistan,1822,26.93
4613,Vanuatu,1822,24.3
4614,Venezuela,1822,32.2
4615,West Bank and Gaza,1822,32.1
4616,Western Sahara,1822,34.75
4617,Vietnam,1822,32.0
4618,Virgin Islands (U.S.),1822,33.4
4619,Yemen,1822,23.39
4620,Zambia,1822,32.6
4621,Zimbabwe,1822,33.7
4622,South Sudan,1822,26.67
4623,Afghanistan,1823,27.98
4624,Albania,1823,35.4
4625,Algeria,1823,28.82
4626,Angola,1823,26.98
4627,Antigua and Barbuda,1823,33.54
4628,Argentina,1823,33.2
4629,Armenia,1823,34.0
4630,Aruba,1823,34.42
4631,Australia,1823,34.05
4632,Austria,1823,34.4
4633,Azerbaijan,1823,29.17
4634,Bahamas,1823,35.18
4635,Bahrain,1823,30.3
4636,Bangladesh,1823,25.5
4637,Barbados,1823,32.12
4638,Belarus,1823,36.2
4639,Belgium,1823,40.19
4640,Belize,1823,26.5
4641,Benin,1823,31.0
4642,Bhutan,1823,28.8
4643,Bolivia,1823,33.0
4644,Bosnia and Herzegovina,1823,35.1
4645,Botswana,1823,33.6
4646,Brazil,1823,32.0
4647,Brunei,1823,29.2
4648,Bulgaria,1823,36.81
4649,Burkina Faso,1823,29.2
4650,Burundi,1823,31.5
4651,Cambodia,1823,35.0
4652,Cameroon,1823,28.75
4653,Canada,1823,39.03
4654,Cape Verde,1823,33.8
4655,Central African Republic,1823,30.0
4656,Chad,1823,30.9
4657,Chile,1823,32.0
4658,China,1823,32.0
4659,Colombia,1823,32.0
4660,Comoros,1823,32.1
4661,"Congo, Dem. Rep.",1823,31.6
4662,"Congo, Rep.",1823,32.7
4663,Costa Rica,1823,30.21
4664,Cote d'Ivoire,1823,31.16
4665,Croatia,1823,36.1
4666,Cuba,1823,36.06
4667,Cyprus,1823,38.5
4668,Czech Republic,1823,34.95
4669,Denmark,1823,46.37
4670,Djibouti,1823,29.9
4671,Dominican Republic,1823,29.9
4672,Ecuador,1823,32.9
4673,Egypt,1823,33.0
4674,El Salvador,1823,28.7
4675,Equatorial Guinea,1823,29.8
4676,Eritrea,1823,30.2
4677,Estonia,1823,38.71
4678,Ethiopia,1823,29.7
4679,Fiji,1823,26.1
4680,Finland,1823,38.91
4681,France,1823,39.97
4682,French Guiana,1823,30.5
4683,French Polynesia,1823,25.6
4684,Gabon,1823,30.6
4685,Gambia,1823,28.8
4686,Georgia,1823,31.87
4687,Germany,1823,38.37
4688,Ghana,1823,28.0
4689,Greece,1823,36.6
4690,Greenland,1823,33.87
4691,Grenada,1823,31.4
4692,Guadeloupe,1823,27.66
4693,Guam,1823,27.5
4694,Guatemala,1823,25.8
4695,Guinea,1823,29.74
4696,Guinea-Bissau,1823,32.0
4697,Guyana,1823,31.12
4698,Haiti,1823,29.0
4699,Honduras,1823,33.9
4700,"Hong Kong, China",1823,34.9
4701,Hungary,1823,36.0
4702,Iceland,1823,45.89
4703,India,1823,25.44
4704,Indonesia,1823,30.0
4705,Iran,1823,25.6
4706,Iraq,1823,31.2
4707,Ireland,1823,38.3
4708,Israel,1823,32.0
4709,Italy,1823,29.69
4710,Jamaica,1823,34.2
4711,Japan,1823,36.41
4712,Jordan,1823,31.7
4713,Kazakhstan,1823,26.2
4714,Kenya,1823,25.5
4715,Kiribati,1823,24.9
4716,North Korea,1823,26.0
4717,South Korea,1823,25.8
4718,Kuwait,1823,26.0
4719,Kyrgyz Republic,1823,23.94
4720,Lao,1823,31.9
4721,Latvia,1823,33.0
4722,Lebanon,1823,29.7
4723,Lesotho,1823,32.8
4724,Liberia,1823,31.1
4725,Libya,1823,33.1
4726,Lithuania,1823,28.9
4727,Luxembourg,1823,36.9
4728,"Macao, China",1823,34.7
4729,"Macedonia, FYR",1823,36.1
4730,Madagascar,1823,30.5
4731,Malawi,1823,30.3
4732,Malaysia,1823,30.6
4733,Maldives,1823,32.65
4734,Mali,1823,26.41
4735,Malta,1823,28.7
4736,Martinique,1823,30.15
4737,Mauritania,1823,32.0
4738,Mauritius,1823,28.7
4739,Mayotte,1823,32.5
4740,Mexico,1823,26.9
4741,"Micronesia, Fed. Sts.",1823,26.7
4742,Moldova,1823,33.15
4743,Mongolia,1823,31.8
4744,Montenegro,1823,35.4
4745,Morocco,1823,33.1
4746,Mozambique,1823,30.28
4747,Myanmar,1823,30.8
4748,Namibia,1823,32.4
4749,Nepal,1823,32.8
4750,Netherlands,1823,39.86
4751,Netherlands Antilles,1823,34.41
4752,New Caledonia,1823,26.0
4753,New Zealand,1823,34.05
4754,Nicaragua,1823,25.4
4755,Niger,1823,30.8
4756,Nigeria,1823,30.4
4757,Norway,1823,48.76
4758,Oman,1823,32.3
4759,Pakistan,1823,25.8
4760,Panama,1823,32.9
4761,Papua New Guinea,1823,31.5
4762,Paraguay,1823,35.5
4763,Peru,1823,35.7
4764,Philippines,1823,30.9
4765,Poland,1823,35.9
4766,Portugal,1823,35.6
4767,Puerto Rico,1823,30.43
4768,Qatar,1823,30.8
4769,Reunion,1823,33.0
4770,Romania,1823,35.7
4771,Russia,1823,29.57
4772,Rwanda,1823,31.8
4773,St. Lucia,1823,28.01
4774,St. Vincent and the Grenadines,1823,25.99
4775,Samoa,1823,25.4
4776,Sao Tome and Principe,1823,31.0
4777,Saudi Arabia,1823,32.1
4778,Senegal,1823,25.2
4779,Serbia,1823,35.5
4780,Seychelles,1823,37.0
4781,Sierra Leone,1823,25.1
4782,Singapore,1823,33.02
4783,Slovak Republic,1823,36.4
4784,Slovenia,1823,36.6
4785,Solomon Islands,1823,25.1
4786,Somalia,1823,29.4
4787,South Africa,1823,33.5
4788,Spain,1823,29.5
4789,Sri Lanka,1823,32.6
4790,Sudan,1823,31.4
4791,Suriname,1823,32.9
4792,Swaziland,1823,32.3
4793,Sweden,1823,45.19
4794,Switzerland,1823,38.0
4795,Syria,1823,31.1
4796,Taiwan,1823,28.3
4797,Tajikistan,1823,24.24
4798,Tanzania,1823,32.2
4799,Thailand,1823,30.4
4800,Timor-Leste,1823,28.95
4801,Togo,1823,31.3
4802,Tonga,1823,28.2
4803,Trinidad and Tobago,1823,32.9
4804,Tunisia,1823,28.8
4805,Turkey,1823,35.0
4806,Turkmenistan,1823,24.0
4807,Uganda,1823,25.3
4808,Ukraine,1823,36.6
4809,United Arab Emirates,1823,30.7
4810,United Kingdom,1823,40.05
4811,United States,1823,39.41
4812,Uruguay,1823,32.9
4813,Uzbekistan,1823,26.93
4814,Vanuatu,1823,24.3
4815,Venezuela,1823,32.2
4816,West Bank and Gaza,1823,32.1
4817,Western Sahara,1823,34.75
4818,Vietnam,1823,32.0
4819,Virgin Islands (U.S.),1823,33.4
4820,Yemen,1823,23.39
4821,Zambia,1823,32.6
4822,Zimbabwe,1823,33.7
4823,South Sudan,1823,26.67
4824,Afghanistan,1824,27.97
4825,Albania,1824,35.4
4826,Algeria,1824,28.82
4827,Angola,1824,26.98
4828,Antigua and Barbuda,1824,33.54
4829,Argentina,1824,33.2
4830,Armenia,1824,34.0
4831,Aruba,1824,34.42
4832,Australia,1824,34.05
4833,Austria,1824,34.4
4834,Azerbaijan,1824,29.17
4835,Bahamas,1824,35.18
4836,Bahrain,1824,30.3
4837,Bangladesh,1824,25.5
4838,Barbados,1824,32.12
4839,Belarus,1824,36.2
4840,Belgium,1824,40.19
4841,Belize,1824,26.5
4842,Benin,1824,31.0
4843,Bhutan,1824,28.8
4844,Bolivia,1824,33.0
4845,Bosnia and Herzegovina,1824,35.1
4846,Botswana,1824,33.6
4847,Brazil,1824,32.0
4848,Brunei,1824,29.2
4849,Bulgaria,1824,36.86
4850,Burkina Faso,1824,29.2
4851,Burundi,1824,31.5
4852,Cambodia,1824,35.0
4853,Cameroon,1824,28.75
4854,Canada,1824,39.04
4855,Cape Verde,1824,33.8
4856,Central African Republic,1824,30.0
4857,Chad,1824,30.9
4858,Chile,1824,32.0
4859,China,1824,32.0
4860,Colombia,1824,32.0
4861,Comoros,1824,32.1
4862,"Congo, Dem. Rep.",1824,31.6
4863,"Congo, Rep.",1824,32.7
4864,Costa Rica,1824,30.21
4865,Cote d'Ivoire,1824,31.16
4866,Croatia,1824,36.1
4867,Cuba,1824,36.4
4868,Cyprus,1824,38.5
4869,Czech Republic,1824,34.95
4870,Denmark,1824,44.56
4871,Djibouti,1824,29.9
4872,Dominican Republic,1824,29.9
4873,Ecuador,1824,32.9
4874,Egypt,1824,33.0
4875,El Salvador,1824,28.7
4876,Equatorial Guinea,1824,29.8
4877,Eritrea,1824,30.2
4878,Estonia,1824,37.15
4879,Ethiopia,1824,29.7
4880,Fiji,1824,26.1
4881,Finland,1824,35.83
4882,France,1824,39.14
4883,French Guiana,1824,30.5
4884,French Polynesia,1824,25.6
4885,Gabon,1824,30.6
4886,Gambia,1824,28.8
4887,Georgia,1824,31.87
4888,Germany,1824,38.37
4889,Ghana,1824,28.0
4890,Greece,1824,36.6
4891,Greenland,1824,33.87
4892,Grenada,1824,31.4
4893,Guadeloupe,1824,27.66
4894,Guam,1824,27.5
4895,Guatemala,1824,25.8
4896,Guinea,1824,29.75
4897,Guinea-Bissau,1824,32.0
4898,Guyana,1824,31.12
4899,Haiti,1824,29.0
4900,Honduras,1824,33.9
4901,"Hong Kong, China",1824,34.9
4902,Hungary,1824,36.0
4903,Iceland,1824,41.6
4904,India,1824,25.44
4905,Indonesia,1824,30.0
4906,Iran,1824,25.6
4907,Iraq,1824,31.2
4908,Ireland,1824,38.3
4909,Israel,1824,32.0
4910,Italy,1824,29.69
4911,Jamaica,1824,34.2
4912,Japan,1824,36.41
4913,Jordan,1824,31.7
4914,Kazakhstan,1824,26.2
4915,Kenya,1824,25.5
4916,Kiribati,1824,24.9
4917,North Korea,1824,26.0
4918,South Korea,1824,25.8
4919,Kuwait,1824,26.0
4920,Kyrgyz Republic,1824,23.94
4921,Lao,1824,31.9
4922,Latvia,1824,33.0
4923,Lebanon,1824,29.7
4924,Lesotho,1824,32.8
4925,Liberia,1824,31.1
4926,Libya,1824,33.1
4927,Lithuania,1824,28.9
4928,Luxembourg,1824,36.9
4929,"Macao, China",1824,34.7
4930,"Macedonia, FYR",1824,36.1
4931,Madagascar,1824,30.5
4932,Malawi,1824,30.3
4933,Malaysia,1824,30.6
4934,Maldives,1824,32.65
4935,Mali,1824,26.41
4936,Malta,1824,28.7
4937,Martinique,1824,30.15
4938,Mauritania,1824,32.0
4939,Mauritius,1824,28.7
4940,Mayotte,1824,32.5
4941,Mexico,1824,26.9
4942,"Micronesia, Fed. Sts.",1824,26.7
4943,Moldova,1824,33.15
4944,Mongolia,1824,31.8
4945,Montenegro,1824,35.4
4946,Morocco,1824,33.1
4947,Mozambique,1824,30.28
4948,Myanmar,1824,30.8
4949,Namibia,1824,32.4
4950,Nepal,1824,32.8
4951,Netherlands,1824,39.86
4952,Netherlands Antilles,1824,34.41
4953,New Caledonia,1824,26.0
4954,New Zealand,1824,34.05
4955,Nicaragua,1824,25.4
4956,Niger,1824,30.8
4957,Nigeria,1824,30.4
4958,Norway,1824,47.64
4959,Oman,1824,32.3
4960,Pakistan,1824,25.8
4961,Panama,1824,32.9
4962,Papua New Guinea,1824,31.5
4963,Paraguay,1824,35.5
4964,Peru,1824,35.7
4965,Philippines,1824,30.9
4966,Poland,1824,35.9
4967,Portugal,1824,35.6
4968,Puerto Rico,1824,30.43
4969,Qatar,1824,30.8
4970,Reunion,1824,33.0
4971,Romania,1824,35.7
4972,Russia,1824,29.57
4973,Rwanda,1824,31.8
4974,St. Lucia,1824,28.01
4975,St. Vincent and the Grenadines,1824,25.99
4976,Samoa,1824,25.4
4977,Sao Tome and Principe,1824,31.0
4978,Saudi Arabia,1824,32.1
4979,Senegal,1824,25.2
4980,Serbia,1824,35.5
4981,Seychelles,1824,37.0
4982,Sierra Leone,1824,25.1
4983,Singapore,1824,34.0
4984,Slovak Republic,1824,36.4
4985,Slovenia,1824,36.6
4986,Solomon Islands,1824,25.1
4987,Somalia,1824,29.4
4988,South Africa,1824,33.5
4989,Spain,1824,29.5
4990,Sri Lanka,1824,32.6
4991,Sudan,1824,31.4
4992,Suriname,1824,32.9
4993,Swaziland,1824,32.3
4994,Sweden,1824,44.97
4995,Switzerland,1824,38.0
4996,Syria,1824,31.1
4997,Taiwan,1824,28.3
4998,Tajikistan,1824,24.24
4999,Tanzania,1824,32.2
5000,Thailand,1824,30.4
5001,Timor-Leste,1824,28.95
5002,Togo,1824,31.3
5003,Tonga,1824,28.2
5004,Trinidad and Tobago,1824,32.9
5005,Tunisia,1824,28.8
5006,Turkey,1824,35.0
5007,Turkmenistan,1824,24.0
5008,Uganda,1824,25.3
5009,Ukraine,1824,36.6
5010,United Arab Emirates,1824,30.7
5011,United Kingdom,1824,39.19
5012,United States,1824,39.41
5013,Uruguay,1824,32.9
5014,Uzbekistan,1824,26.93
5015,Vanuatu,1824,24.3
5016,Venezuela,1824,32.2
5017,West Bank and Gaza,1824,32.1
5018,Western Sahara,1824,34.75
5019,Vietnam,1824,32.0
5020,Virgin Islands (U.S.),1824,33.4
5021,Yemen,1824,23.39
5022,Zambia,1824,32.6
5023,Zimbabwe,1824,33.7
5024,South Sudan,1824,26.67
5025,Afghanistan,1825,27.95
5026,Albania,1825,35.4
5027,Algeria,1825,28.82
5028,Angola,1825,26.98
5029,Antigua and Barbuda,1825,33.54
5030,Argentina,1825,33.2
5031,Armenia,1825,34.0
5032,Aruba,1825,34.42
5033,Australia,1825,34.05
5034,Austria,1825,34.4
5035,Azerbaijan,1825,29.17
5036,Bahamas,1825,35.18
5037,Bahrain,1825,30.3
5038,Bangladesh,1825,25.5
5039,Barbados,1825,32.12
5040,Belarus,1825,36.2
5041,Belgium,1825,40.2
5042,Belize,1825,26.5
5043,Benin,1825,31.0
5044,Bhutan,1825,28.8
5045,Bolivia,1825,33.0
5046,Bosnia and Herzegovina,1825,35.1
5047,Botswana,1825,33.6
5048,Brazil,1825,32.0
5049,Brunei,1825,29.2
5050,Bulgaria,1825,36.9
5051,Burkina Faso,1825,29.2
5052,Burundi,1825,31.5
5053,Cambodia,1825,35.0
5054,Cameroon,1825,28.75
5055,Canada,1825,39.04
5056,Cape Verde,1825,33.8
5057,Central African Republic,1825,30.0
5058,Chad,1825,30.9
5059,Chile,1825,32.0
5060,China,1825,32.0
5061,Colombia,1825,32.0
5062,Comoros,1825,32.1
5063,"Congo, Dem. Rep.",1825,31.6
5064,"Congo, Rep.",1825,32.7
5065,Costa Rica,1825,30.21
5066,Cote d'Ivoire,1825,31.16
5067,Croatia,1825,36.1
5068,Cuba,1825,36.24
5069,Cyprus,1825,38.5
5070,Czech Republic,1825,34.95
5071,Denmark,1825,43.14
5072,Djibouti,1825,29.9
5073,Dominican Republic,1825,29.9
5074,Ecuador,1825,32.9
5075,Egypt,1825,33.0
5076,El Salvador,1825,28.7
5077,Equatorial Guinea,1825,29.8
5078,Eritrea,1825,30.2
5079,Estonia,1825,35.59
5080,Ethiopia,1825,29.7
5081,Fiji,1825,26.1
5082,Finland,1825,37.26
5083,France,1825,38.53
5084,French Guiana,1825,30.5
5085,French Polynesia,1825,25.6
5086,Gabon,1825,30.6
5087,Gambia,1825,28.8
5088,Georgia,1825,31.87
5089,Germany,1825,38.37
5090,Ghana,1825,28.0
5091,Greece,1825,36.6
5092,Greenland,1825,33.87
5093,Grenada,1825,31.4
5094,Guadeloupe,1825,27.66
5095,Guam,1825,27.5
5096,Guatemala,1825,25.8
5097,Guinea,1825,29.76
5098,Guinea-Bissau,1825,32.0
5099,Guyana,1825,31.12
5100,Haiti,1825,29.0
5101,Honduras,1825,33.9
5102,"Hong Kong, China",1825,34.9
5103,Hungary,1825,36.0
5104,Iceland,1825,32.79
5105,India,1825,25.44
5106,Indonesia,1825,30.0
5107,Iran,1825,25.6
5108,Iraq,1825,31.2
5109,Ireland,1825,38.3
5110,Israel,1825,32.0
5111,Italy,1825,29.69
5112,Jamaica,1825,34.2
5113,Japan,1825,36.41
5114,Jordan,1825,31.7
5115,Kazakhstan,1825,26.2
5116,Kenya,1825,25.5
5117,Kiribati,1825,24.9
5118,North Korea,1825,26.0
5119,South Korea,1825,25.8
5120,Kuwait,1825,26.0
5121,Kyrgyz Republic,1825,23.94
5122,Lao,1825,31.9
5123,Latvia,1825,33.0
5124,Lebanon,1825,29.7
5125,Lesotho,1825,32.8
5126,Liberia,1825,31.1
5127,Libya,1825,33.1
5128,Lithuania,1825,28.9
5129,Luxembourg,1825,36.9
5130,"Macao, China",1825,34.7
5131,"Macedonia, FYR",1825,36.1
5132,Madagascar,1825,30.5
5133,Malawi,1825,30.3
5134,Malaysia,1825,30.6
5135,Maldives,1825,32.65
5136,Mali,1825,26.41
5137,Malta,1825,28.7
5138,Martinique,1825,30.15
5139,Mauritania,1825,32.0
5140,Mauritius,1825,28.7
5141,Mayotte,1825,32.5
5142,Mexico,1825,26.9
5143,"Micronesia, Fed. Sts.",1825,26.7
5144,Moldova,1825,33.15
5145,Mongolia,1825,31.8
5146,Montenegro,1825,35.4
5147,Morocco,1825,33.1
5148,Mozambique,1825,30.28
5149,Myanmar,1825,30.8
